date	tree	id	sample	length	diameter	fw	dw
20230526	ZJG000433	5	ZJG000433-P4-5	18.29	16.12	2.5507	0.4083
20230526	ZJG000420	1	ZJG000420-P4-1	18.29	15.12	2.3687	0.4116
20230526	ZJG000420	2	ZJG000420-P4-2	18.64	15.07	2.3468	0.4131
20230526	ZJG000420	3	ZJG000420-P4-3	16.64	13.35	1.6471	0.3051
20230526	ZJG000420	4	ZJG000420-P4-4	17.97	14.02	1.8926	0.3377
20230526	ZJG000366	1	ZJG000366-P4-1	21.22	16.12	3.1571	0.4503
20230526	ZJG000366	2	ZJG000366-P4-2	20.93	16.75	3.4561	0.4898
20230526	ZJG000366	3	ZJG000366-P4-3	22.13	16.06	3.2121	0.4629
20230526	ZJG000366	4	ZJG000366-P4-4	20.82	15.78	2.9701	0.4385
20230526	ZJG000351	1	ZJG000351-P4-1	18.71	17.15	3.2052	0.5355
20230526	ZJG000351	2	ZJG000351-P4-2	17.65	17.06	2.9699	0.5063
20230526	ZJG000351	3	ZJG000351-P4-3	17.05	16.02	2.5616	0.4552
20230526	ZJG000351	4	ZJG000351-P4-4	17.01	15.91	2.4456	0.4474
20230526	ZJG000370	1	ZJG000370-P4-1	24.56	19.48	5.2944	0.7172
20230526	ZJG000370	2	ZJG000370-P4-2	23.82	18.56	4.6004	0.6135
20230526	ZJG000370	3	ZJG000370-P4-3	24.49	19.24	5.2296	0.7147
20230526	ZJG000370	4	ZJG000370-P4-4	23.43	18.02	4.3699	0.5899
20230602	ZJG000420	1	ZJG000420-P5-1	23.51	16.99	3.6746	0.6154
20230602	ZJG000420	2	ZJG000420-P5-2	21.96	16.87	3.1911	0.5147
20230602	ZJG000420	3	ZJG000420-P5-3	21.36	16.09	3.1879	0.5233
20230602	ZJG000433	1	ZJG000433-P5-1	21.88	17.81	3.7841	0.6181
20230602	ZJG000433	2	ZJG000433-P5-2	21.22	16.81	3.2669	0.4989
20230602	ZJG000433	3	ZJG000433-P5-3	21.28	17.41	3.5297	0.5392
20230602	ZJG000370	1	ZJG000370-P5-1	28.54	21.63	7.3875	1.0161
20230602	ZJG000370	2	ZJG000370-P5-2	29.57	21.57	7.6991	1.0728
20230602	ZJG000370	3	ZJG000370-P5-3	27.95	20.99	6.7046	0.9629
20230602	ZJG000366	1	ZJG000366-P5-1	24.11	18.09	4.3374	0.6735
20230602	ZJG000366	2	ZJG000366-P5-2	24.71	17.88	4.3922	0.6796
20230602	ZJG000366	3	ZJG000366-P5-3	24.92	18.34	4.5901	0.6949
20230602	ZJG000351	1	ZJG000351-P5-1	22.19	19.23	4.6222	0.6953
20230602	ZJG000351	2	ZJG000351-P5-2	22.09	19.41	4.5745	0.8016
20230602	ZJG000351	3	ZJG000351-P5-3	23.99	20.22	5.5507	0.9462
20230602	ZJG000351	4	ZJG000351-P5-4	23.99	21.06	5.8038	0.9991
20230609	ZJG000351	1	ZJG000351-P6-1	26.22	23.37	7.6374	1.3043
20230609	ZJG000351	2	ZJG000351-P6-2	27.45	22.87	7.5099	1.2769
20230609	ZJG000351	3	ZJG000351-P6-3	27.43	23.14	8.1173	1.3758
20230609	ZJG000351	4	ZJG000351-P6-4	27.71	23.09	7.8695	1.3469
20230609	ZJG000366	1	ZJG000366-P6-1	26.48	18.52	4.8664	0.7813
20230609	ZJG000366	2	ZJG000366-P6-2	25.72	19.22	5.1859	0.8562
20230609	ZJG000366	3	ZJG000366-P6-3	26.08	19.66	5.4914	0.9016
20230609	ZJG000370	1	ZJG000370-P6-1	31.12	23.01	9.1756	1.2419
20230609	ZJG000370	2	ZJG000370-P6-2	31.09	24.14	9.8106	1.3372
20230609	ZJG000370	3	ZJG000370-P6-3	32.33	23.59	9.5705	1.2866
20230609	ZJG000420	1	ZJG000420-P6-1	23.92	18.04	3.9865	0.6691
20230609	ZJG000420	2	ZJG000420-P6-2	23.59	17.63	3.9105	0.6789
20230609	ZJG000420	3	ZJG000420-P6-3	23.76	18.25	4.3344	0.7634
20230609	ZJG000420	4	ZJG000420-P6-4	22.96	17.77	3.9784	0.6766
20230609	ZJG000433	1	ZJG000433-P6-1	23.91	17.83	3.8328	0.5985
20230609	ZJG000433	2	ZJG000433-P6-2	23.78	19.06	4.5848	0.7076
20230609	ZJG000433	3	ZJG000433-P6-3	22.89	18.39	3.9305	0.6474
20230609	ZJG000433	4	ZJG000433-P6-4	22.77	18.25	3.9811	0.6384
20230616	ZJG000351	1	ZJG000351-P7-1	30.09	24.38	9.6419	1.8409
20230616	ZJG000351	2	ZJG000351-P7-2	30.52	24.89	10.3598	1.9548
20230616	ZJG000351	3	ZJG000351-P7-3	30.01	25.19	10.0409	1.8998
20230616	ZJG000351	4	ZJG000351-P7-4	29.49	24.93	10.0235	1.9210 
20230616	ZJG000433	1	ZJG000433-P7-1	25.49	20.51	5.7828	0.9701
20230616	ZJG000433	2	ZJG000433-P7-2	24.82	20.31	5.4023	0.9370 
20230616	ZJG000433	3	ZJG000433-P7-3	24.97	20.29	5.4200 	0.9665
20230616	ZJG000420	1	ZJG000420-P7-1	23.69	17.58	3.8816	0.7734
20230616	ZJG000420	2	ZJG000420-P7-2	23.56	17.75	3.9984	0.7843
20230616	ZJG000420	3	ZJG000420-P7-3	24.24	17.37	3.8872	0.7297
20230616	ZJG000420	4	ZJG000420-P7-4	23.19	17.34	3.7188	0.6897
20230616	ZJG000370	1	ZJG000370-P7-1	33.07	24.23	10.4714	1.6132
20230616	ZJG000370	2	ZJG000370-P7-2	33.07	25.12	11.0931	1.6422
20230616	ZJG000370	3	ZJG000370-P7-3	32.46	24.61	10.5551	1.5729
20230616	ZJG000366	1	ZJG000366-P7-1	26.66	20.26	5.9023	1.0784
20230616	ZJG000366	2	ZJG000366-P7-2	26.88	19.88	5.7209	1.0646
20230616	ZJG000366	3	ZJG000366-P7-3	26.61	20.47	6.1548	1.1254
20230616	ZJG000366	4	ZJG000366-P7-4	27.21	20.39	6.2787	1.1207
20230623	ZJG000420	1	ZJG000420-P8-1	25.34	18.92	4.9216	1.0207
20230623	ZJG000420	2	ZJG000420-P8-2	26.83	18.79	4.7734	0.9591 
20230623	ZJG000420	3	ZJG000420-P8-3	25.98	19.02	4.9045	1.0514
20230623	ZJG000420	4	ZJG000420-P8-4	26.63	18.84	4.8531	0.9719
20230623	ZJG000433	1	ZJG000433-P8-1	25.07	20.68	5.7336	1.1577
20230623	ZJG000433	2	ZJG000433-P8-2	24.82	21.01	5.7905	1.1652
20230623	ZJG000433	3	ZJG000433-P8-3	25.09	21.10 	5.9886	1.1390 
20230623	ZJG000433	4	ZJG000433-P8-4	24.47	20.23	5.2497	0.9635
20230623	ZJG000370	1	ZJG000370-P8-1	31.33	25.63	11.2343	1.8926
20230623	ZJG000370	2	ZJG000370-P8-2	32.29	25.92	11.5403	1.8541
20230623	ZJG000370	3	ZJG000370-P8-3	33.48	24.69	11.3523	1.8740 
20230623	ZJG000351	1	ZJG000351-P8-1	30.77	25.39	10.6939	2.3989
20230623	ZJG000351	2	ZJG000351-P8-2	30.93	25.28	10.7911	2.4326
20230623	ZJG000351	3	ZJG000351-P8-3	30.56	24.67	10.1344	2.3079
20230623	ZJG000351	4	ZJG000351-P8-4	31.07	24.97	10.2758	2.3947
20230623	ZJG000366	1	ZJG000366-P8-1	26.78	19.49	5.4321	1.1076
20230623	ZJG000366	2	ZJG000366-P8-2	25.71	19.41	5.4431	1.1551
20230623	ZJG000366	3	ZJG000366-P8-3	25.60 	19.88	5.5961	1.2075
20230623	ZJG000366	4	ZJG000366-P8-4	25.23	18.94	4.9211	0.9938
20230623	ZJG000366	5	ZJG000366-P8-5	25.88	19.07	5.0263	0.9884
20230707	ZJG000433	1	ZJG000433-P9-1	25.58	21.39	6.2587	1.6459
20230707	ZJG000433	2	ZJG000433-P9-2	25.87	21.86	6.7079	1.7975
20230707	ZJG000433	3	ZJG000433-P9-3	25.41	21.09	5.7091	1.4016 
20230707	ZJG000433	4	ZJG000433-P9-4	24.89	20.99	5.7554	1.3874
20230707	ZJG000366	1	ZJG000366-P9-1	27.17	21.07	6.7946	1.7191
20230707	ZJG000366	2	ZJG000366-P9-2	27.31	21.19	6.8702	1.7242 
20230707	ZJG000366	3	ZJG000366-P9-3	26.84	21.13	6.7000 	1.7449
20230707	ZJG000366	4	ZJG000366-P9-4	27.19	21.68	7.1517	1.8455
20230707	ZJG000420	1	ZJG000420-P9-1	25.32	19.02	4.7348	1.2746
20230707	ZJG000420	2	ZJG000420-P9-2	24.87	18.97	4.8520 	1.3239
20230707	ZJG000420	3	ZJG000420-P9-3	23.48	18.46	4.4233	1.1963
20230707	ZJG000420	4	ZJG000420-P9-4	23.66	18.52	4.3894	1.1678
20230707	ZJG000370	1	ZJG000370-P9-1	32.42	26.07	11.5818	2.6714
20230707	ZJG000370	2	ZJG000370-P9-2	33.58	26.80 	12.8463	2.8517
20230707	ZJG000370	3	ZJG000370-P9-3	33.74	26.83	13.3380 	2.9647
20230707	ZJG000351	1	ZJG000351-P9-1	32.85	26.13	12.2427	3.1244
20230707	ZJG000351	2	ZJG000351-P9-2	32.04	26.01	12.1255	3.0438
20230707	ZJG000351	3	ZJG000351-P9-3	31.64	26.79	12.1830 	2.8799
20230707	ZJG000351	4	ZJG000351-P9-4	33.15	27.59	13.0797	3.0724 
20230721	ZJG000366	1	ZJG000366-PA-1	27.18	22.16	7.6873	2.3701
20230721	ZJG000366	2	ZJG000366-PA-2	26.19	21.60 	7.1888	2.2405
20230721	ZJG000366	3	ZJG000366-PA-3	27.73	21.45	7.4946	2.3980 
20230721	ZJG000366	4	ZJG000366-PA-4	27.41	21.57	7.3810 	2.3009
20230721	ZJG000351	1	ZJG000351-PA-1	33.27	28.41	14.2553	4.3800 
20230721	ZJG000351	2	ZJG000351-PA-2	32.83	28.31	14.4755	4.4613
20230721	ZJG000351	3	ZJG000351-PA-3	31.21	27.04	12.5796	3.7759
20230721	ZJG000433	1	ZJG000433-PA-1	25.89	20.79	5.9916	1.7951
20230721	ZJG000433	2	ZJG000433-PA-2	25.15	21.05	5.8533	1.6988
20230721	ZJG000433	3	ZJG000433-PA-3	24.78	21.29	6.1762	1.9313
20230721	ZJG000433	4	ZJG000433-PA-4	25.22	21.46	6.2923	1.8757
20230721	ZJG000370	1	ZJG000370-PA-1	34.73	27.22	14.4899	3.8517
20230721	ZJG000370	2	ZJG000370-PA-2	31.95	26.59	12.3843	3.6780 
20230721	ZJG000370	3	ZJG000370-PA-3	33.74	27.42	14.1611	4.3060 
20230721	ZJG000420	1	ZJG000420-PA-1	25.59	20.53	6.0355	1.7848
20230721	ZJG000420	2	ZJG000420-PA-2	25.46	20.13	5.9020 	1.8184
20230721	ZJG000420	3	ZJG000420-PA-3	24.85	19.89	5.4279	1.6403
20230721	ZJG000420	4	ZJG000420-PA-4	24.49	19.34	5.0679	1.5379
20230804	ZJG000351	1	ZJG000351-PB-1	31.26	26.65	12.2971	4.4976
20230804	ZJG000351	2	ZJG000351-PB-2	32.27	26.87	12.8804	4.5911
20230804	ZJG000351	3	ZJG000351-PB-3	31.03	28.43	13.8393	4.7891
20230804	ZJG000351	4	ZJG000351-PB-4	31.70 	27.77	13.5148	4.7419
20230804	ZJG000370	1	ZJG000370-PB-1	31.95	27.35	13.2950 	4.1595
20230804	ZJG000370	2	ZJG000370-PB-2	32.33	27.18	13.3950 	4.2260 
20230804	ZJG000370	3	ZJG000370-PB-3	34.12	27.12	14.0256	3.9442
20230804	ZJG000433	1	ZJG000433-PB-1	24.82	20.24	5.5524	1.7667
20230804	ZJG000433	2	ZJG000433-PB-2	24.59	20.32	5.4153	1.6884
20230804	ZJG000433	3	ZJG000433-PB-3	24.31	20.07	5.2896	1.7042
20230804	ZJG000433	4	ZJG000433-PB-4	24.43	20.40 	5.4391	1.7632
20230804	ZJG000420	1	ZJG000420-PB-1	27.11	21.22	6.6802	2.1228
20230804	ZJG000420	2	ZJG000420-PB-2	26.47	21.45	6.7587	2.2182
20230804	ZJG000420	3	ZJG000420-PB-3	27.17	20.55	6.1808	1.9902
20230804	ZJG000420	4	ZJG000420-PB-4	26.41	21.57	6.8907	2.2103
20230804	ZJG000366	1	ZJG000366-PB-1	26.56	21.37	6.8692	2.2063
20230804	ZJG000366	2	ZJG000366-PB-2	27.18	21.61	7.4025	2.3847
20230804	ZJG000366	3	ZJG000366-PB-3	27.95	22.85	8.6041	2.6728
20230804	ZJG000366	4	ZJG000366-PB-4	27.71	22.34	7.9941	2.5088
20230818	ZJG000420	1	ZJG000420-PC-1	24.41	19.45	5.2464	1.8361
20230818	ZJG000420	2	ZJG000420-PC-2	25.16	19.57	5.4175	1.8951
20230818	ZJG000420	3	ZJG000420-PC-3	23.75	18.69	4.4239	1.2367
20230818	ZJG000420	4	ZJG000420-PC-4	25.64	18.77	5.2010 	1.8090 
20230818	ZJG000420	5	ZJG000420-PC-5	24.57	19.46	5.3662	1.8671
20230818	ZJG000366	1	ZJG000366-PC-1	25.96	21.37	6.5803	2.1782
20230818	ZJG000366	2	ZJG000366-PC-2	26.27	21.16	6.9313	2.3767
20230818	ZJG000366	3	ZJG000366-PC-3	26.12	20.34	6.2036	2.0790 
20230818	ZJG000366	4	ZJG000366-PC-4	26.34	20.82	6.4577	2.1268
20230818	ZJG000366	5	ZJG000366-PC-5	26.43	21.16	6.9158	2.2998
20230818	ZJG000433	1	ZJG000433-PC-1	24.89	20.42	5.6099	1.9147
20230818	ZJG000433	2	ZJG000433-PC-2	24.61	20.48	5.6431	1.9226
20230818	ZJG000433	3	ZJG000433-PC-3	25.58	21.87	6.7462	2.2686
20230818	ZJG000433	4	ZJG000433-PC-4	25.27	22.17	6.7230 	2.2773
20230818	ZJG000351	1	ZJG000351-PC-1	32.11	27.10 	13.1270 	4.5459
20230818	ZJG000351	2	ZJG000351-PC-2	31.26	26.92	12.9849	4.5997
20230818	ZJG000351	3	ZJG000351-PC-3	33.49	28.23	14.9598	5.1433
20230818	ZJG000351	4	ZJG000351-PC-4	33.23	28.44	14.6049	5.0311
20230818	ZJG000370	1	ZJG000370-PC-1	31.03	26.64	13.1741	4.6428
20230818	ZJG000370	2	ZJG000370-PC-2	34.58	28.61	16.1656	5.5576
20230818	ZJG000370	3	ZJG000370-PC-3	34.15	26.96	13.8478	4.3716
20230901	ZJG000420	1	ZJG000420-PD-1	25.74	20.72	6.2697	2.1741
20230901	ZJG000420	2	ZJG000420-PD-2	24.97	20.38	6.1494	2.1793
20230901	ZJG000420	3	ZJG000420-PD-3	24.16	20.31	5.7379	2.0532
20230901	ZJG000420	4	ZJG000420-PD-4	25.98	20.56	6.1629	2.1871
20230901	ZJG000420	5	ZJG000420-PD-5	26.43	20.49	6.1516	2.1533
20230901	ZJG000366	1	ZJG000366-PD-1	27.74	21.59	7.4971	2.6210 
20230901	ZJG000366	2	ZJG000366-PD-2	27.88	22.25	7.9551	2.8184
20230901	ZJG000366	3	ZJG000366-PD-3	26.63	21.35	7.1250 	2.5305
20230901	ZJG000366	4	ZJG000366-PD-4	27.68	21.41	7.5199	2.6896
20230901	ZJG000433	1	ZJG000433-PD-1	24.61	21.82	6.3889	2.1922
20230901	ZJG000433	2	ZJG000433-PD-2	24.47	21.74	6.3985	2.2265
20230901	ZJG000433	3	ZJG000433-PD-3	24.99	22.20 	6.9057	2.4564
20230901	ZJG000433	4	ZJG000433-PD-4	25.16	22.27	7.1373	2.5546
20230901	ZJG000351	1	ZJG000351-PD-1	32.70 	28.08	14.3761	4.8182
20230901	ZJG000351	2	ZJG000351-PD-2	32.74	28.33	14.9767	5.0432
20230901	ZJG000351	3	ZJG000351-PD-3	31.72	27.78	13.7991	4.6955
20230901	ZJG000351	4	ZJG000351-PD-4	31.94	27.27	13.5749	4.7536
20230901	ZJG000370	1	ZJG000370-PD-1	32.43	28.05	14.5107	5.0608
20230901	ZJG000370	2	ZJG000370-PD-2	32.88	27.84	14.5416	5.1255
20230901	ZJG000370	3	ZJG000370-PD-3	34.53	27.28	14.5184	4.1879
20230908	ZJG000420	1	ZJG000420-PE-1	25.78	20.61	6.2741	2.1993
20230908	ZJG000420	2	ZJG000420-PE-2	25.84	21.05	6.5889	2.3465
20230908	ZJG000420	3	ZJG000420-PE-3	25.95	20.04	5.9261	2.0921
20230908	ZJG000420	4	ZJG000420-PE-4	25.12	20.55	6.0892	2.1094
20230908	ZJG000370	1	ZJG000370-PE-1	30.48	26.13	12.3491	4.5819
20230908	ZJG000370	2	ZJG000370-PE-2	30.39	26.53	12.6966	4.7328
20230908	ZJG000370	3	ZJG000370-PE-3	33.91	25.63	13.1000 	4.2060 
20230908	ZJG000433	1	ZJG000433-PE-1	24.44	20.55	5.6054 	2.0638
20230908	ZJG000433	2	ZJG000433-PE-2	24.11	19.66	5.2347	1.9299
20230908	ZJG000433	3	ZJG000433-PE-3	24.15	20.00 	5.3330 	1.8631
20230908	ZJG000433	4	ZJG000433-PE-4	24.59	20.09	5.4224	1.9032
20230908	ZJG000351	1	ZJG000351-PE-1	31.32	26.45	12.8907	4.5243
20230908	ZJG000351	2	ZJG000351-PE-2	31.95	27.02	13.0445	4.7201
20230908	ZJG000351	3	ZJG000351-PE-3	32.16	27.80 	14.0167	4.9283
20230908	ZJG000351	4	ZJG000351-PE-4	32.47	26.93	13.0791	4.6628
20230908	ZJG000366	1	ZJG000366-PE-1	25.82	19.57	6.2843	2.5138
20230908	ZJG000366	2	ZJG000366-PE-2	26.79	20.98	7.0369	2.6623
20230908	ZJG000366	3	ZJG000366-PE-3	25.96	20.89	7.3095	2.8267
20230908	ZJG000366	4	ZJG000366-PE-4	25.76	20.72	7.1894	2.8171
20230922	ZJG000351	1	ZJG000351-PF-1	29.41	24.08	10.7946	4.3939
20230922	ZJG000351	2	ZJG000351-PF-2	32.06	24.84	12.1009	4.5275
20230922	ZJG000351	3	ZJG000351-PF-3	33.89	24.12	12.2564	4.4848
20230922	ZJG000370	1	ZJG000370-PF-1	32.48	23.89	11.7373	4.1134
20230922	ZJG000370	2	ZJG000370-PF-2	32.37	23.03	11.7658	4.0857
20230922	ZJG000370	3	ZJG000370-PF-3	32.72	23.99	12.5451	4.4135
20230922	ZJG000433	1	ZJG000433-PF-1	22.87	16.78	3.1134	1.3882
20230922	ZJG000433	2	ZJG000433-PF-2	23.15	17.56	4.3647	1.9244
20230922	ZJG000433	3	ZJG000433-PF-3	23.16	17.87	4.8464	2.1258
20230922	ZJG000433	4	ZJG000433-PF-4	22.76	17.30 	4.3780 	2.2295
20230922	ZJG000366	1	ZJG000366-PF-1	22.71	17.50 	4.9089	2.3518
20230922	ZJG000366	2	ZJG000366-PF-2	23.05	18.72	5.8859	2.5905
20230922	ZJG000366	3	ZJG000366-PF-3	22.26	18.29	5.9226	2.6401
20230922	ZJG000420	1	ZJG000420-PF-1	24.74	19.49	5.5516	2.1501
20230922	ZJG000420	2	ZJG000420-PF-2	26.04	19.56	5.5859	2.1740 
20230922	ZJG000420	3	ZJG000420-PF-3	26.05	19.28	5.5598	2.1605
20231006	ZJG000420	1	ZJG000420-PG-1	22.42	18.38	5.2126	1.7875
20231006	ZJG000420	2	ZJG000420-PG-2	22.65	18.54	5.1636	1.8610 
20231006	ZJG000420	3	ZJG000420-PG-3	23.06	17.87	4.8328	1.7596
20231006	ZJG000420	4	ZJG000420-PG-4	22.75	18.23	5.2037	1.8736
20231006	ZJG000433	1	ZJG000433-PG-1	22.71	15.54	4.1427	1.8361
20231006	ZJG000433	2	ZJG000433-PG-2	20.79	15.23	3.9371	1.6664
20231006	ZJG000433	3	ZJG000433-PG-3	21.51	16.21	4.1244	1.7159
20231006	ZJG000351	1	ZJG000351-PG-1	29.16	22.58	10.7220 	4.1320 
20231006	ZJG000351	2	ZJG000351-PG-2	27.82	21.18	10.6071	4.2726
20231006	ZJG000351	3	ZJG000351-PG-3	28.81	22.88	10.7075	4.5504
20231006	ZJG000366	1	ZJG000366-PG-1	21.86	16.43	5.7880 	2.4454
20231006	ZJG000366	2	ZJG000366-PG-2	22.55	17.03	5.4007	2.1300 
20231006	ZJG000366	3	ZJG000366-PG-3	22.39	16.79	5.3948	2.1246
20231006	ZJG000370	1	ZJG000370-PG-1	30.45	22.12	10.8994	4.4502
20231006	ZJG000370	2	ZJG000370-PG-2	31.29	22.23 	10.3655	4.0376
20231006	ZJG000370	3	ZJG000370-PG-3	30.21	22.17	10.1674	4.1798
